ALP,54,27,69,101,61,82,92,54,68,66,137,161,234,65,83,76,70,71,64,55,150,53,62,61,49,55,95,66,146,90,70,93,45,81,86,65,83,66,86,143,213,94,72,56,116,118,260,82
GGT,21,38,18,20,13,87,21,25,58,25,679,236,2090,66,40,143,219,32,21,66,88,25,12,58,NaN,29,75,NaN,150,158,52,67,75,96,26,93,114,NaN,28,94,248,41,33,55,167,191,142,168
HbA1c,6.3,5.8,6.2,6.2,5.4,5.8,6.2,7.1,6.2,5.2,5.8,5.7,6,5.7,6,5.5,5.5,5.5,6.8,7.1,6.2,6,6.8,9.3,6.8,7.4,9,7.4,8.7,6.8,6.2,6.5,8.5,9.5,8.5,7.7,11.1,NaN,7.3,6,6,6.5,5.2,5.5,6.6,6.5,5.8,7.1
Total cholesterol,3.6,6.6,5.7,6.7,5.5,7.7,5.9,6.6,6.8,4.3,6.6,7.8,7.5,45,3.7,5.6,5.5,6.7,4.7,3.8,4.3,4.3,3.8,5.7,4.2,3.9,4.4,2.9,6.9,4.2,4,4.9,3.4,5.6,4.7,4,4,3.4,4.7,6,4,4.5,4.2,4.4,5,3.7,4.3,4.6
HDL,1.26,1.7,1.12,0.91,1.21,1.28,1.72,0.94,1.53,0.8,1.66,2.84,1.67,0.81,0.94,1.65,1.01,1.15,1.22,1.3,1.75,1.25,1.8,1.29,1.56,1.5,1,1.29,1.43,0.91,1.68,0.77,1.13,1.59,1.88,1.33,1.32,0.87,1.37,0.99,1.88,1.1,1.33,1.46,1.37,1.13,2.39,0.96
LDL,2.1,4.3,4.1,4.8,3.9,5.7,3.8,4.6,4.6,3,3.5,4.3,4.9,2.9,2,3.5,3.5,4.7,2.8,2.2,2,2.2,1.6,3.1,2.2,2.1,2.5,1.1,4.2,2.1,1.8,3.1,1.6,3.3,2.4,2.2,1.5,NaN,3,4.1,1.4,3,2.3,2.6,3.3,2,1.6,2.9
Vldl,0.3,0.6,0.5,1,0.4,0.7,0.4,1,0.7,0.5,1.5,0.7,0.9,0.8,0.7,0.4,1,0.9,0.7,0.3,0.6,0.9,0.4,1.3,0.4,0.3,0.9,0.5,1.2,1.2,0.5,1,0.7,0.7,0.5,0.5,1.2,NaN,0.3,0.9,0.8,0.4,0.5,0.4,0.3,0.6,0.4,0.8
TAG,0.58,1.24,1.12,2.2,0.9,1.53,0.86,2.32,1.48,1.18,3.28,1.49,2.07,1.78,1.66,0.96,2.28,1.93,1.46,0.74,1.28,1.98,0.8,2.95,0.95,0.66,NaN,1.17,2.73,2.71,1.06,2.23,1.55,1.49,1.03,1.14,2.7,5.27,0.63,1.96,1.7,0.81,1.21,0.8,0.7,1.28,0.8,1.72
P18206_VCL,121000000,89100000,197000000,79200000,114000000,123000000,128000000,69700000,249000000,76500000,95500000,165000000,95000000,122000000,158000000,44200000,89800000,120000000,97900000,138000000,57600000,135000000,91800000,89400000,59200000,121000000,204000000,131000000,96900000,196000000,129000000,100000000,108000000,77000000,94200000,152000000,132000000,84000000,84800000,48700000,60800000,110000000,90100000,69500000,114000000,98900000,116000000,57000000
P02748_C9,4900000000,3440000000,6460000000,6260000000,4900000000,4850000000,4790000000,3590000000,4930000000,6460000000,7650000000,4440000000,3520000000,4080000000,3280000000,4320000000,2930000000,3150000000,4500000000,6010000000,5390000000,5070000000,5130000000,2690000000,4660000000,3520000000,4800000000,6210000000,2940000000,4350000000,2860000000,3990000000,4440000000,3780000000,5310000000,2490000000,4260000000,3190000000,5270000000,3670000000,3200000000,5490000000,5450000000,4630000000,5470000000,3800000000,3100000000,5200000000
K7ERI9_APOC1,6370000000,8920000000,7750000000,8370000000,6180000000,7970000000,7680000000,7630000000,7610000000,5320000000,12200000000,9900000000,11500000000,5080000000,5770000000,6450000000,4990000000,5550000000,9070000000,5770000000,6980000000,6030000000,10200000000,7980000000,9390000000,8380000000,8070000000,7440000000,8390000000,5420000000,5840000000,6570000000,4650000000,5610000000,7250000000,4940000000,5620000000,4660000000,6410000000,5750000000,6950000000,3920000000,5330000000,6000000000,6010000000,5400000000,8960000000,6260000000
Q12860_CNTN1,27600000,27000000,47200000,36000000,20200000,17200000,23900000,19000000,26900000,17000000,35700000,29400000,22900000,33800000,34600000,22200000,23700000,25200000,21200000,49100000,34900000,35400000,33700000,44300000,46900000,40000000,26700000,26400000,29900000,24000000,32100000,25800000,35900000,36000000,25200000,37200000,37200000,21700000,21700000,28400000,21300000,45400000,9503700,34800000,36900000,40100000,33700000,25200000
P05062_ALDOB,10000000,NaN,NaN,24400000,6254500,12900000,NaN,6076300,22300000,8725900,38800000,15800000,32900000,32200000,17500000,78300000,131000000,57000000,7739450,26100000,94700000,22500000,4492700,32400000,8366800,22700000,15800000,126000000,122000000,50000000,58000000,103000000,35100000,33400000,16800000,89400000,240000000,57500000,8357600,23400000,NaN,5233100,25200000,4265900,9647600,14700000,NaN,19500000
O14791_APOL1,2790000000,5250000000,3990000000,3720000000,3360000000,3410000000,4530000000,4930000000,4380000000,3940000000,4760000000,6360000000,4250000000,5390000000,3590000000,4080000000,4920000000,3570000000,4420000000,3640000000,4000000000,4890000000,3280000000,4560000000,3440000000,3190000000,5130000000,5910000000,3870000000,2540000000,3390000000,3680000000,3440000000,4570000000,6590000000,6470000000,4960000000,5690000000,2700000000,3710000000,4330000000,2540000000,4120000000,2080000000,2860000000,3150000000,2950000000,5170000000
E9PHK0_CLEC3B,462000000,410000000,521000000,482000000,596000000,560000000,536000000,667000000,411000000,485000000,306000000,419000000,510000000,851000000,619000000,443000000,493000000,494000000,497000000,506000000,521000000,432000000,410000000,472000000,488000000,428000000,492000000,495000000,388000000,350000000,449000000,605000000,447000000,486000000,527000000,415000000,422000000,373000000,452000000,423000000,548000000,722000000,395000000,553000000,603000000,530000000,349000000,392000000
P02647_APOA1,2.47E+11,2.55E+11,2.22E+11,2.06E+11,2.18E+11,1.89E+11,2.89E+11,2.11E+11,2.12E+11,1.88E+11,2.29E+11,3.15E+11,2.43E+11,1.91E+11,2.1E+11,2.49E+11,2.31E+11,2.17E+11,2.51E+11,2.36E+11,2.44E+11,2.69E+11,2.6E+11,2.14E+11,2.39E+11,2.49E+11,1.91E+11,2.66E+11,2.61E+11,2.03E+11,3E+11,1.9E+11,2.31E+11,2.65E+11,2.7E+11,2.22E+11,1.97E+11,2.08E+11,2.29E+11,2.19E+11,2.87E+11,2.12E+11,2.31E+11,2.74E+11,2.75E+11,2.5E+11,2.3E+11,2.1E+11
P43121_MCAM,13000000,12000000,12200000,10300000,7512250,12200000,25700000,11100000,9860300,14000000,12500000,15200000,11700000,11100000,8220250,6723650,15900000,13100000,16700000,13300000,13900000,20200000,10100000,15300000,11900000,6359800,14600000,12100000,NaN,9189300,11200000,10400000,12500000,6361600,13700000,11900000,12600000,12300000,20200000,11600000,15100000,15500000,16900000,18900000,15000000,17600000,8515250,11200000
O60462_NRP2,170000000,187000000,561000000,167000000,175000000,208000000,243000000,188000000,124000000,NaN,121000000,146000000,213000000,191000000,177000000,185000000,140000000,181000000,408000000,210000000,126000000,234000000,113000000,124000000,107000000,172000000,195000000,470000000,213000000,422000000,329000000,208000000,95200000,207000000,215000000,252000000,210000000,213000000,218000000,211000000,181000000,207000000,221000000,158000000,362000000,77300000,254000000,179000000
P12814_ACTN1,18900000,24000000,31000000,31900000,63500000,22100000,43200000,10100000,NaN,110000000,45800000,63900000,29400000,34500000,89000000,46000000,12500000,38900000,15600000,40200000,31400000,36100000,33200000,46500000,37600000,28700000,35900000,30600000,52600000,NaN,67700000,51300000,12600000,54100000,49500000,17600000,18500000,36300000,34500000,62500000,22100000,39300000,5507600,71400000,54300000,35100000,117000000,26100000
Q9UK55_SERPINA10,332000000,212000000,180000000,220000000,270000000,235000000,176000000,124000000,232000000,292000000,130000000,309000000,265000000,125000000,162000000,266000000,192000000,255000000,299000000,250000000,171000000,225000000,257000000,150000000,220000000,197000000,244000000,323000000,216000000,157000000,286000000,254000000,280000000,260000000,228000000,160000000,193000000,225000000,193000000,203000000,228000000,204000000,74800000,251000000,150000000,131000000,220000000,168000000
A0A024R6I7_SERPINA1,1.93E+11,1.33E+11,1.89E+11,1.68E+11,1.57E+11,1.51E+11,1.66E+11,1.63E+11,1.68E+11,1.97E+11,2.42E+11,1.64E+11,1.77E+11,1.8E+11,1.85E+11,1.49E+11,1.7E+11,1.39E+11,1.7E+11,1.31E+11,1.83E+11,1.89E+11,1.7E+11,1.65E+11,1.84E+11,1.71E+11,1.53E+11,1.95E+11,1.74E+11,1.68E+11,1.82E+11,1.83E+11,1.58E+11,1.65E+11,1.45E+11,1.65E+11,1.85E+11,1.94E+11,1.55E+11,1.8E+11,1.81E+11,2.5E+11,2.39E+11,2.03E+11,2.45E+11,2.32E+11,1.76E+11,1.91E+11
P29622_SERPINA4,2110000000,1740000000,1570000000,1680000000,1950000000,1650000000,1580000000,1930000000,1570000000,2080000000,1180000000,1490000000,1720000000,1840000000,2110000000,1880000000,1850000000,1750000000,1740000000,1680000000,1760000000,1650000000,1800000000,2210000000,1550000000,1670000000,1870000000,2430000000,1610000000,1640000000,2140000000,2210000000,1880000000,2160000000,1540000000,2480000000,1800000000,2290000000,1720000000,1640000000,1740000000,1320000000,1240000000,1430000000,1590000000,1730000000,1840000000,1360000000
P05154_SERPINA5,342000000,120000000,285000000,304000000,6946300,299000000,226000000,284000000,317000000,481000000,288000000,357000000,230000000,391000000,279000000,318000000,298000000,20900000,14800000,327000000,306000000,335000000,259000000,396000000,250000000,315000000,417000000,375000000,17600000,426000000,349000000,425000000,315000000,409000000,278000000,372000000,174000000,364000000,293000000,264000000,17300000,281000000,167000000,360000000,208000000,214000000,94800000,214000000
P01011_SERPINA3,30500000000,22300000000,32200000000,30200000000,28300000000,29500000000,31400000000,22800000000,27700000000,31600000000,43500000000,28700000000,29300000000,30000000000,25100000000,26800000000,20000000000,19700000000,19100000000,29100000000,34200000000,29600000000,29500000000,21600000000,28700000000,26000000000,31500000000,28800000000,23100000000,22700000000,14400000000,24500000000,32700000000,29000000000,26200000000,21100000000,32700000000,23300000000,29500000000,36800000000,24400000000,28200000000,31600000000,26200000000,27500000000,23300000000,23300000000,28600000000
P08253_MMP2,7296950,5678900,8125600,4350100,5174450,4803600,9720500,NaN,7376150,NaN,2617750,4160500,NaN,11300000,8229800,9190800,7811000,6182300,10700000,23600000,15400000,6593900,6348900,NaN,NaN,8615300,15500000,9675700,8301300,12400000,3256700,12900000,8078600,NaN,NaN,7258000,NaN,7473700,10500000,NaN,13700000,10700000,7474200,11000000,6084000,12300000,3255300,8067000
P08581_MET,124000000,64500000,33100000,52500000,109000000,115000000,155000000,75200000,56200000,37300000,135000000,101000000,105000000,46100000,55400000,121000000,142000000,55500000,79900000,76900000,29500000,32800000,135000000,62300000,56100000,43800000,50400000,59300000,55800000,67900000,147000000,62700000,98300000,74200000,71400000,66100000,63900000,31100000,79800000,281000000,165000000,39100000,118000000,148000000,126000000,83600000,106000000,92100000
A0A024R884_TNC,574000000,784000000,803000000,360000000,926000000,442000000,473000000,1260000000,136000000,160000000,852000000,603000000,1000000000,1050000000,743000000,393000000,553000000,744000000,1150000000,273000000,810000000,601000000,1030000000,880000000,791000000,639000000,340000000,621000000,395000000,639000000,432000000,274000000,840000000,749000000,697000000,911000000,391000000,841000000,728000000,409000000,1910000000,987000000,946000000,627000000,984000000,458000000,684000000,578000000
P41222_PTGDS,32500000,22900000,21600000,19600000,23300000,17100000,29900000,30800000,32400000,NaN,NaN,20700000,76600000,14100000,15700000,14200000,30800000,25300000,26200000,28400000,22400000,15900000,36900000,49600000,12700000,11200000,13500000,15700000,24000000,33900000,30200000,25000000,12900000,15300000,23000000,31700000,15300000,38500000,NaN,33400000,26400000,42500000,16100000,21300000,26600000,45300000,28000000,29300000
P07237_P4HB,12200000,14600000,19100000,20700000,13700000,17500000,39000000,22200000,18300000,18000000,16800000,13700000,16500000,16300000,17800000,15900000,11100000,17000000,20400000,11100000,28900000,11700000,16100000,17800000,16300000,16800000,13400000,14900000,20600000,12900000,20400000,23800000,20200000,24400000,13200000,22300000,18400000,21000000,11700000,22400000,21200000,19600000,NaN,10100000,22600000,16000000,13300000,12000000
P14151_SELL,27800000,34200000,39800000,43300000,33200000,21500000,19300000,30400000,24800000,40000000,13700000,29700000,37400000,31900000,28200000,12800000,53400000,52500000,31200000,35300000,28600000,42700000,NaN,27800000,20100000,28100000,24800000,41200000,NaN,34000000,25000000,33200000,24600000,NaN,44400000,42100000,16300000,32800000,25900000,36400000,26200000,37100000,NaN,32300000,NaN,60900000,57800000,39700000
P01008_SERPINC1,21700000000,19300000000,21600000000,19300000000,18700000000,22500000000,22100000000,21600000000,20100000000,27200000000,21900000000,17300000000,19500000000,23600000000,24900000000,19000000000,21500000000,18400000000,15100000000,21300000000,23700000000,19900000000,24500000000,22400000000,21700000000,24100000000,20200000000,24600000000,15300000000,17800000000,19200000000,20300000000,22400000000,15900000000,20700000000,21500000000,20200000000,19200000000,20400000000,15000000000,21100000000,16200000000,20700000000,14300000000,19300000000,17200000000,25600000000,17200000000
Q9Y646_CPQ,11300000,11100000,18200000,16800000,16800000,13800000,12400000,9257300,NaN,14400000,NaN,13200000,NaN,13500000,38600000,8046800,20000000,4500900,19600000,15300000,17600000,13100000,NaN,13800000,15400000,7334200,NaN,21400000,20700000,15000000,9956050,14400000,23900000,18400000,23400000,30500000,19800000,20500000,20200000,11600000,21800000,9325400,23300000,NaN,NaN,18700000,14400000,12100000
A0A024RAA7_C1QC,1400000000,1130000000,1520000000,1720000000,1390000000,1470000000,1280000000,1350000000,1350000000,1400000000,962000000,1400000000,1580000000,1550000000,1430000000,1410000000,1580000000,1430000000,1660000000,956000000,1180000000,1340000000,714000000,1060000000,1230000000,969000000,1290000000,1440000000,1140000000,1240000000,1470000000,1770000000,1590000000,1630000000,1260000000,1440000000,1470000000,1320000000,1260000000,1340000000,1410000000,1560000000,1920000000,1830000000,975000000,1830000000,1480000000,1420000000
A0A024RAB6_HSPG2,58300000,82700000,39000000,41900000,101000000,91700000,84800000,64300000,50900000,30600000,49700000,35500000,101000000,99400000,60800000,136000000,79300000,36200000,53500000,55100000,106000000,93700000,74000000,58900000,73200000,114000000,58600000,55600000,122000000,65800000,115000000,55100000,91100000,83600000,95300000,90900000,52200000,73800000,100000000,81200000,133000000,64900000,93900000,117000000,73200000,73600000,76300000,46400000
P02746_C1QB,891000000,780000000,994000000,1110000000,923000000,973000000,921000000,839000000,963000000,780000000,516000000,878000000,1090000000,929000000,1070000000,796000000,907000000,1140000000,1090000000,722000000,769000000,779000000,414000000,784000000,712000000,674000000,828000000,651000000,907000000,919000000,868000000,1140000000,1160000000,855000000,1040000000,1010000000,861000000,818000000,965000000,825000000,1280000000,1180000000,1090000000,1010000000,772000000,1120000000,909000000,916000000
P02745_C1QA,451000000,376000000,842000000,361000000,666000000,531000000,379000000,580000000,550000000,626000000,479000000,528000000,513000000,663000000,759000000,642000000,517000000,658000000,635000000,426000000,485000000,513000000,400000000,391000000,646000000,322000000,490000000,538000000,443000000,584000000,663000000,664000000,525000000,685000000,684000000,700000000,564000000,493000000,649000000,554000000,848000000,760000000,711000000,732000000,492000000,683000000,593000000,634000000
P19022_CDH2,65900000,NaN,34300000,140000000,35800000,49900000,36500000,54400000,50000000,73600000,134000000,73900000,26400000,59300000,46200000,49500000,32700000,NaN,49400000,64400000,27000000,53400000,21600000,36700000,54900000,105000000,52900000,43400000,33400000,NaN,NaN,29400000,110000000,31000000,58600000,NaN,37800000,38500000,61200000,23700000,38200000,41200000,56600000,56800000,58200000,NaN,NaN,36500000
P15144_ANPEP,36600000,37400000,19500000,30600000,27700000,43600000,43600000,35800000,34900000,33700000,59600000,52000000,332000000,51200000,54200000,49300000,86400000,47900000,34500000,46100000,86600000,49100000,34100000,46100000,28000000,35300000,40000000,31100000,57300000,50300000,62000000,47600000,45100000,73000000,52000000,53200000,69900000,45300000,36100000,42200000,81600000,50300000,18500000,39100000,57500000,60400000,84000000,39400000
A0A024RD39_PLA2G7,8600300,12500000,6631200,NaN,13400000,NaN,11300000,6399900,6289000,NaN,NaN,5122600,16800000,6666400,10900000,26100000,16100000,12900000,11800000,7689900,NaN,6562250,NaN,10100000,12500000,5155000,11200000,3261700,10500000,29900000,10400000,9106900,16400000,13800000,NaN,8740000,7973100,5440100,6037850,NaN,7430600,12200000,14300000,NaN,4292000,11100000,2854400,7145200
Q14515_SPARCL1,984000000,837000000,778000000,734000000,720000000,608000000,807000000,957000000,855000000,1140000000,927000000,478000000,595000000,969000000,817000000,790000000,760000000,923000000,301000000,1300000000,1050000000,1310000000,320000000,853000000,969000000,979000000,535000000,1110000000,623000000,649000000,580000000,951000000,1140000000,867000000,1110000000,963000000,1340000000,863000000,714000000,582000000,927000000,1300000000,850000000,987000000,937000000,1070000000,910000000,659000000
P08319_ADH4,8121200,NaN,7326200,10600000,10700000,6476200,29400000,23700000,36300000,236000000,9139800,76900000,10500000,8559800,20300000,60000000,9671100,19700000,25500000,5996350,10700000,NaN,44400000,21100000,NaN,NaN,14000000,NaN,30600000,92600000,143000000,20100000,NaN,41500000,4972200,66500000,66000000,141000000,11000000,4649700,8489000,87800000,25500000,NaN,4382400,NaN,53900000,6031700
P13796_LCP1,125000000,140000000,139000000,167000000,334000000,143000000,282000000,169000000,112000000,161000000,176000000,152000000,160000000,196000000,223000000,210000000,164000000,170000000,273000000,240000000,140000000,192000000,152000000,181000000,125000000,149000000,142000000,153000000,189000000,167000000,214000000,205000000,103000000,178000000,163000000,219000000,160000000,122000000,105000000,190000000,184000000,209000000,201000000,198000000,171000000,182000000,222000000,184000000
P11279_LAMP1,15500000,4127900,5022150,6519800,NaN,5469900,4100500,3787700,8937100,6274900,7380800,6663600,4531950,5669950,NaN,5280200,8266900,5179400,5786100,2606100,7540600,7439800,4324700,5284900,8374400,3747850,4403400,7047700,5969700,8637990,7002100,4247100,4437100,8064100,5558850,6889200,9350400,5601500,5878600,4615500,3509200,NaN,7158100,6522300,6935400,11500000,11600000,6664600
Q5NV62_V3-4,243000000,363000000,496000000,275000000,437000000,395000000,358000000,482000000,344000000,90500000,NaN,7654100,209000000,NaN,234000000,NaN,123000000,291000000,65500000,403000000,110000000,62300000,193000000,21400000,NaN,NaN,199000000,229000000,245000000,264000000,611000000,191000000,659000000,177000000,186000000,478000000,193000000,373000000,NaN,30000000,62500000,686000000,683000000,NaN,308000000,339000000,28700000,35600000
A2MYD5_V2-6,369000000,335000000,298000000,178000000,309000000,239000000,165000000,361000000,376000000,174000000,197000000,248000000,266000000,378000000,343000000,721000000,523000000,393000000,241000000,274000000,170000000,254000000,267000000,586000000,247000000,345000000,195000000,126000000,256000000,365000000,200000000,338000000,215000000,277000000,243000000,463000000,353000000,393000000,272000000,133000000,349000000,252000000,514000000,378000000,387000000,366000000,182000000,225000000
A0A075B6P5_IGKV2D-28,1690000000,1250000000,1820000000,2000000000,2150000000,1860000000,1100000000,2050000000,2500000000,1100000000,2150000000,1110000000,1740000000,1840000000,2090000000,1190000000,3080000000,1930000000,1460000000,777000000,815000000,1710000000,1620000000,1540000000,1650000000,1280000000,1440000000,2260000000,2080000000,1990000000,2070000000,2100000000,1790000000,1980000000,796000000,3080000000,2340000000,1350000000,2700000000,1620000000,2010000000,2970000000,2260000000,2650000000,1340000000,2620000000,3130000000,3120000000
A0A075B6R2_IGHV4-4,383000000,NaN,462000000,413000000,NaN,447000000,1500000000,657000000,293000000,NaN,421000000,168000000,NaN,649000000,606000000,456000000,560000000,697000000,NaN,427000000,298000000,349000000,459000000,493000000,291000000,NaN,218000000,NaN,NaN,NaN,NaN,397000000,931000000,NaN,333000000,728000000,365000000,489000000,215000000,NaN,649000000,597000000,963000000,279000000,347000000,492000000,498000000,NaN
A0A0C4DH68_IGKV2-24,1290000000,1300000000,849000000,690000000,482000000,593000000,1390000000,941000000,738000000,697000000,245000000,472000000,663000000,904000000,932000000,NaN,951000000,1820000000,696000000,71200000,470000000,NaN,508000000,401000000,427000000,54100000,537000000,501000000,979000000,1510000000,1540000000,1260000000,NaN,542000000,345000000,1230000000,536000000,794000000,769000000,530000000,1330000000,1110000000,705000000,1600000000,810000000,690000000,1420000000,95400000
P24043_LAMA2,14400000,21600000,24200000,15000000,18600000,17800000,14300000,13200000,15900000,8267150,20000000,11400000,40200000,24500000,13300000,21000000,16300000,NaN,16100000,6299700,12500000,34100000,9916800,34600000,10000000,NaN,11300000,21400000,18100000,23600000,7012600,31600000,NaN,19400000,15800000,14000000,24700000,16500000,11700000,33400000,18200000,24300000,30200000,20300000,11900000,14800000,10600000,NaN
Q9Y6R7_FCGBP,107000000,57300000,66400000,102000000,52800000,47700000,34300000,52900000,115000000,47700000,22500000,102000000,66600000,61600000,97800000,275000000,119000000,86200000,104000000,90200000,74800000,71600000,72200000,38900000,46600000,67200000,65700000,47100000,142000000,89500000,69300000,157000000,114000000,172000000,82300000,110000000,85700000,149000000,72500000,113000000,81800000,202000000,75600000,119000000,86800000,116000000,51500000,183000000
P01871_IGHM,17100000000,14300000000,27100000000,24900000000,31100000000,9200000000,37500000000,39200000000,15300000000,8750000000,20900000000,10300000000,22700000000,22300000000,13500000000,17700000000,43400000000,29500000000,17300000000,8480000000,18500000000,23500000000,8640000000,17500000000,13100000000,12600000000,22400000000,19100000000,26600000000,22700000000,39500000000,19700000000,44200000000,15800000000,13200000000,21100000000,12100000000,27600000000,30100000000,24000000000,35800000000,40200000000,35700000000,56100000000,19700000000,37600000000,81900000000,52700000000
O75015_FCGR3B,23200000,26600000,13600000,28400000,34100000,37000000,38900000,29100000,24800000,33900000,32400000,30700000,27700000,42000000,29800000,26500000,39300000,33900000,30300000,38600000,46100000,NaN,12600000,28000000,22800000,27700000,34400000,28500000,40300000,34500000,32900000,44600000,29400000,49300000,30000000,24700000,32300000,48800000,29700000,47800000,33100000,34400000,29400000,60300000,37300000,57400000,55600000,37600000
A0A087X0M8_CHL1,29500000,25500000,21000000,19300000,21700000,27700000,20400000,32000000,15000000,36600000,18600000,33900000,15100000,21500000,23500000,13600000,25700000,29000000,20500000,24500000,39000000,22300000,38000000,28100000,13900000,27000000,19400000,29000000,25700000,26600000,27100000,24700000,NaN,29600000,29300000,25000000,19000000,13100000,19500000,27700000,23500000,37000000,19000000,42500000,30100000,36500000,32900000,18600000
P12109_COL6A1,13000000,14900000,12000000,8369700,12100000,7320700,NaN,14800000,6738450,4205500,11300000,6722900,16500000,9706100,13600000,9311150,5234900,10200000,12500000,6204300,8083700,10100000,6143300,7322400,9190200,16000000,7220400,10100000,7191500,4657150,10400000,10700000,12200000,8248600,7689900,10700000,9947450,13000000,12300000,14700000,9663100,14700000,13200000,42200000,10700000,10600000,9547800,10600000
P22352_GPX3,206000000,201000000,231000000,199000000,182000000,259000000,223000000,187000000,190000000,227000000,157000000,194000000,179000000,234000000,235000000,186000000,83600000,193000000,197000000,239000000,179000000,208000000,256000000,212000000,223000000,267000000,173000000,292000000,294000000,270000000,265000000,195000000,206000000,142000000,264000000,172000000,227000000,225000000,231000000,152000000,298000000,248000000,191000000,226000000,246000000,309000000,237000000,180000000
Q9UL46_PSME2,2740000000,2720000000,2890000000,2960000000,NaN,3590000000,NaN,2840000000,3710000000,1520000000,NaN,3070000000,NaN,2720000000,NaN,3830000000,2300000000,2070000000,2830000000,2850000000,2360000000,3560000000,1680000000,1380000000,3850000000,1750000000,NaN,1250000000,1200000000,NaN,2470000000,3280000000,4120000000,3660000000,5890000000,NaN,3390000000,2770000000,3380000000,2490000000,NaN,NaN,2340000000,NaN,3040000000,3520000000,NaN,2630000000
A0A087X232_C1S,2850000000,2240000000,3460000000,2670000000,2510000000,2750000000,2150000000,2500000000,2920000000,2580000000,3290000000,2620000000,2410000000,2950000000,2830000000,2550000000,2710000000,2530000000,2760000000,2690000000,2890000000,3270000000,2930000000,2740000000,2490000000,2420000000,2990000000,2690000000,2660000000,2710000000,2330000000,3090000000,2850000000,2430000000,3240000000,2600000000,2990000000,2700000000,2710000000,2480000000,2790000000,3150000000,2870000000,3050000000,2240000000,3160000000,2380000000,2540000000
A0A096LPE2_SAA2-SAA4,3110000000,2390000000,5330000000,4100000000,1800000000,2240000000,2870000000,2280000000,2340000000,1910000000,5460000000,4440000000,4860000000,2570000000,2300000000,3320000000,2970000000,1770000000,3530000000,3710000000,2260000000,1730000000,3400000000,2550000000,3110000000,2530000000,2090000000,2530000000,3580000000,2090000000,2820000000,2370000000,3340000000,3400000000,3900000000,2840000000,2550000000,2480000000,2210000000,2530000000,2620000000,1790000000,2480000000,1830000000,2000000000,1760000000,2720000000,2390000000
