Leading Gene name,Leading Protein ID,Median_cirrhosis,Median_nonNAFLD,Median_NAFLD,P-value [-Log10],Log2 difference,RNA tissue category,Significant,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Protein IDs,Majority protein IDs,Protein names,Gene names
P4HB,P07237,23.799375,24.06085,24.0522,0.813876643,-0.291675589,,,21,21,21,47.2,47.2,47.2,57.116,0,323.31,39690000000,179,P07237;A0A024R8S5;B4DUA5;H7BZ94;B4DNL5;B4DLN6;H0Y3Z3;Q96C96;I3L398;B3KTQ9;I3L312;I3L4M2;B4DJS0;I3NI03;I3L0S0;I3L3P5;I3L3U6;B4DNP9;I3L1Y5;I3L514,P07237;A0A024R8S5;B4DUA5;H7BZ94;B4DNL5;B4DLN6;H0Y3Z3;Q96C96,Protein disulfide-isomerase,P4HB
SELL,P14151,25.031235,24.76951,24.911045,0.225338866,-0.225071271,,,9,9,9,25,25,25,42.187,0,323.31,1.78E+11,149,P14151;B4DQA0;Q8WW79;A0A024R8Z0;A0A0H5AY34;Q6ULR8,P14151;B4DQA0;Q8WW79;A0A024R8Z0;A0A0H5AY34,L-selectin,SELL
SERPINC1,P01008,34.084785,34.33698,34.20819,2.508132704,-0.245493359,Tissue enriched,+,43,43,29,72.2,72.2,56.9,52.602,0,323.31,1.20E+13,8614,P01008;A0A024R944;A0A0K0Q2Z1;Q8TCE1;Q9UE54;Q8IZZ8;Q8J001,P01008;A0A024R944;A0A0K0Q2Z1,Antithrombin-III,SERPINC1
CPQ,Q9Y646,23.654035,23.71816,24.000115,0.109120748,-0.1383756,,,10,10,10,27.1,27.1,27.1,51.887,0,100.93,9448800000,60,Q9Y646;A0A024R9B8;E5RJA8;E5RH35;E5RJZ7;E5RJP8;B4DJC2;B4E1W2,Q9Y646;A0A024R9B8;E5RJA8;E5RH35;E5RJZ7;E5RJP8;B4DJC2,Carboxypeptidase Q,CPQ;PGCP
COLEC10,Q9Y6Z7,23.44164,22.71812,23.428915,0.12783168,0.192082744,Group enriched,,5,5,5,20.9,20.9,20.9,30.705,0,25.532,5241700000,29,Q9Y6Z7;A0A024R9J3,Q9Y6Z7;A0A024R9J3,Collectin-10,COLEC10
C1QC,A0A024RAA7,30.433095,30.31959,30.418395,1.178506909,0.217244509,,,7,7,7,41.2,41.2,41.2,25.773,0,305.91,4.15E+11,708,A0A024RAA7;P02747,A0A024RAA7;P02747,Complement C1q subcomponent subunit C,C1QC
HSPG2,A0A024RAB6,26.23008,26.12534,26.18897,0.864309873,0.302205361,,,70,70,38,20.8,20.8,10.9,464.01,0,323.31,91839000000,428,A0A024RAB6;P98160;Q2VPA1;A0A0U1RQT3;H7BYA5,A0A024RAB6;P98160,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,HSPG2
C1QB,P02746,29.87883,29.54628,29.76601,1.91535402,0.306153276,,,8,8,8,37.5,37.5,37.5,26.721,0,232.43,4.41E+11,623,P02746;D6R934;A0A024RAB9;A0A0A0MSV6;D6RGJ1,P02746;D6R934;A0A024RAB9;A0A0A0MSV6,Complement C1q subcomponent subunit B,C1QB
C1QA,P02745,29.31103,28.93438,29.182405,2.505543595,0.41713259,,+,7,7,7,38.8,38.8,38.8,26.016,0,323.31,1.79E+11,284,P02745;A0A024RAG6;X6RLJ0;Q9H2L7,P02745;A0A024RAG6;X6RLJ0,Complement C1q subcomponent subunit A,C1QA
HEXB,P07686,21.52344,21.86537,22.73894,0.169609963,-0.222113927,,,15,15,15,29.5,29.5,29.5,63.111,0,57.097,39003000000,89,P07686;A0A024RAJ6;Q5URX0;H0YA83;H0Y9B6;H0Y9M3,P07686;A0A024RAJ6;Q5URX0;H0YA83,Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A;Beta-hexosaminidase,HEXB
CDH2,P19022,25.241605,25.57254,25.18416,0.706559217,-0.710099941,,,23,23,23,29.5,29.5,29.5,99.808,0,139.24,24227000000,115,P19022;A0A024RC42;C9J8J8;C9J126;C9JMH2,P19022;A0A024RC42,Cadherin-2,CDH2
ANPEP,P15144,25.457395,25.07316,25.63201,1.024000876,0.353587002,,,38,38,16,46.7,46.7,19.3,109.54,0,323.31,2.78E+11,672,P15144;A0A024RC61;Q59E93;B4DP96;H0YKT6;H0YLZ8;Q71E46;H0YMC1;Q8IVL7;H0YM04,P15144;A0A024RC61;Q59E93;B4DP96,Aminopeptidase N,ANPEP
PLA2G7,A0A024RD39,22.64707,22.64576,23.317545,0.15526116,-0.232831913,,,9,9,9,24.7,24.7,24.7,50.049,0,22.76,5927600000,28,A0A024RD39;Q13093;A8K2W6;B4DLM5;B4DG88,A0A024RD39;Q13093;A8K2W6,Platelet-activating factor acetylhydrolase,PLA2G7
SPARCL1,Q14515,29.77464,29.66797,29.688125,0.182098301,0.07584309,,,21,21,21,48.8,48.8,48.8,75.207,0,323.31,1.90E+11,306,Q14515;Q8N4S1;A0A024RDE1;B7ZB68;B4DFZ4;B4DV72;B4DNS6;B4E397;C9JJR8;E9PC64;D6RA29;F5H331;F5H4Y3,Q14515;Q8N4S1;A0A024RDE1;B7ZB68;B4DFZ4;B4DV72;B4DNS6;B4E397,SPARC-like protein 1,SPARCL1
ADH4,P08319,22.770645,23.35111,24.439485,0.086968812,-0.194558356,Tissue enriched,,7,7,7,21.8,21.8,21.8,40.221,0,220.33,7327400000,16,P08319;A0A024RDF8;A0A0D9SFB5;V9HVX7;D6R9K8;H0Y9N0;D6RIB1,P08319;A0A024RDF8;A0A0D9SFB5;V9HVX7,Alcohol dehydrogenase 4,ADH4;HEL-S-4
LCP1,P13796,27.478275,27.1795,27.39915,0.64727034,0.177566571,,,36,36,29,68.3,68.3,58.1,70.288,0,323.31,1.86E+11,439,P13796;V9HWJ7;A0A024RDT4;Q53FI1;Q59GX5;B3KUI1;Q5TBN3;Q5TBN5,P13796;V9HWJ7;A0A024RDT4;Q53FI1;Q59GX5,Plastin-2,LCP1;HEL-S-37
LAMP1,P11279,22.65252,22.33344,22.449535,0.178050769,0.152324952,,,4,4,4,10.6,10.6,10.6,44.882,0,105.6,30490000000,55,P11279;B3KRY3;A0A024RDY3;Q59FZ0,P11279;B3KRY3;A0A024RDY3,Lysosome-associated membrane glycoprotein 1,LAMP1
,A0A068LRW0,24.473805,22.78308,21.60584,0.037368414,-0.161744987,,,2,2,1,18.3,18.3,11.7,13.231,0,7.6317,21385000000,57,A0A068LRW0;Q9UL96;A0A120HG44;P01817,A0A068LRW0;Q9UL96;A0A120HG44;P01817,Ig heavy chain V-II region MCE,
V3-4,Q5NV62,25.49136,27.76762,27.579605,0.459652863,-0.966952515,,,3,2,2,25.3,16.2,16.2,10.375,0,7.5707,26361000000,120,Q5NV62;A0A075B6I0,Q5NV62;A0A075B6I0,,V3-4;IGLV8-61
V5-4,Q5NV79,25.134705,21.39097,22.446725,1.655858577,2.510341856,,,2,2,2,19.2,19.2,19.2,10.678,0,7.9167,2972400000,37,Q5NV79;A0A075B6I1,Q5NV79;A0A075B6I1,,V5-4;IGLV4-60
V2-6,A2MYD5,28.19884,27.92025,28.187575,0.27550436,0.142324617,,,6,3,3,60,31.6,31.6,10.21,0,61.757,49671000000,117,A2MYD5;A0A075B6K5,A2MYD5;A0A075B6K5,,V2-6;IGLV3-9
IGKV2D-28,A0A075B6P5,31.29513,30.61982,30.8644,2.690242454,0.563181814,,+,5,4,1,45.8,45.8,16.7,12.957,0,323.31,3.02E+11,271,A0A075B6P5;P01615;A2IPI1,A0A075B6P5;P01615;A2IPI1,Ig kappa chain V-II region FR,IGKV2D-28
IGHV4-4,A0A075B6R2,28.62222,28.15074,28.606045,0.23799819,0.811947356,,,3,2,2,37.6,23.9,23.9,12.848,0,27.312,65387000000,150,A0A075B6R2;A0A087WW49;A0A075B7B6,A0A075B6R2;A0A087WW49,,IGHV4-4
IGKV2-24,A0A0C4DH68,29.55588,29.00035,29.469535,0.527211388,0.813964589,,,3,2,2,33.3,27.5,27.5,13.079,0,46.072,93762000000,88,A0A0C4DH68;A0A075B6R9,A0A0C4DH68;A0A075B6R9,,IGKV2-24;IGKV2D-24
PTPRJ,Q12913,22.38601,22.53414,23.43331,0.046279163,-0.060020743,,,15,15,15,15.9,15.9,15.9,145.94,0,323.31,1.09E+11,191,Q12913;A0A087WTK0;A0A087WVC6;Q9NPR5;E9PPH3;E9PJ83,Q12913;A0A087WTK0;A0A087WVC6;Q9NPR5,Receptor-type tyrosine-protein phosphatase eta;Protein-tyrosine-phosphatase,PTPRJ
PRSS1,A0A087WW55,22.328745,23.10708,22.073115,0.745496803,-0.62236451,,,4,4,0,22.3,22.3,0,26.622,0,24.643,1.44E+11,39,A0A087WW55;P07477;Q53ZX9;Q45KI0;H0Y8D1;CON__P07477;E7EQ64;Q8NHM4;Q86W17;Q53ZX8;Q53ZX7,A0A087WW55;P07477;Q53ZX9;Q45KI0;H0Y8D1;CON__P07477;E7EQ64;Q8NHM4;Q86W17;Q53ZX8;Q53ZX7,Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2;Putative trypsin-6,PRSS1;PRSS3P2
LAMA2,P24043,23.96582,23.83846,23.964975,0.017649341,-0.020804469,,,46,46,45,16.9,16.9,16.7,343.9,0,255.42,13959000000,129,P24043;A0A087WYF1;A0A087WX80;Q59H37,P24043;A0A087WYF1;A0A087WX80;Q59H37,Laminin subunit alpha-2,LAMA2
ST3GAL6,Q9Y274,28.33056,24.1946,28.009965,0.393113198,1.185350672,,,9,9,9,25.7,25.7,25.7,38.213,0,12.678,35086000000,75,Q9Y274;A0A087WXB8;C9IZL6;C9J0E2;C9J480;C9JWJ3;C9JXM2;C9J9Y4;C9JMW7;C9JWI9,Q9Y274;A0A087WXB8;C9IZL6;C9J0E2;C9J480;C9JWJ3,"Type 2 lactosamine alpha-2,3-sialyltransferase",ST3GAL6
FCGBP,Q9Y6R7,26.56147,25.77203,26.57366,2.719272583,0.725659561,,+,18,18,18,7.2,7.2,7.2,572.01,0,84.054,20444000000,74,Q9Y6R7;A0A087WXI2;A0A087WUZ2,Q9Y6R7;A0A087WXI2,IgGFc-binding protein,FCGBP
CDH1,P12830,22.92301,20.69071,22.612315,1.338070513,1.249006462,,,10,10,7,15.2,15.2,11,97.455,0,146.06,14238000000,59,P12830;B3GN61;D3XNU5;A0A0U2ZQU7;A0A0E3XJU3;Q9UII7;A0A087WXI5;A5D8W4;A0A087WX17;A0A087WU43;H3BNC6;B4DNH0;J3QKP1,P12830;B3GN61;D3XNU5;A0A0U2ZQU7;A0A0E3XJU3;Q9UII7;A0A087WXI5;A5D8W4;A0A087WX17;A0A087WU43;H3BNC6,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,CDH1
IGHM,P01871,35.094625,34.10681,34.28965,3.596637884,1.079091009,,+,19,19,1,51.4,51.4,2.9,49.439,0,323.31,4.27E+12,2381,P01871;A0A087WYJ9;A0A1B0GUU9,P01871;A0A087WYJ9;A0A1B0GUU9,Ig mu chain C region,IGHM
FCGR3B,O75015,25.15845,24.75685,24.960535,1.314746119,0.842279095,,,5,5,2,21.9,21.9,11.6,26.216,0,13.401,1.15E+11,90,O75015;A0A087WZR4;Q9UPY7;H0Y4U3;M9MML6;Q9ULV2;E9PNY5;A0A087WU90,O75015;A0A087WZR4;Q9UPY7;H0Y4U3;M9MML6,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B;Fc-gamma receptor IIIB
CHL1,A0A087X0M8,24.78332,24.60399,24.55067,0.418234303,0.151681349,,,31,31,2,35.4,35.4,1.7,130.79,0,323.31,1.80E+11,443,A0A087X0M8;C9J905;H7C0J0;C9JH37;C9JW79;C9JEY3,A0A087X0M8,,CHL1
COL6A1,P12109,23.45069,22.99674,23.263985,1.628152842,0.599285952,,,23,23,23,30.6,30.6,30.6,108.53,0,323.31,25062000000,146,P12109;A0A087X0S5;B4DRR8;D3DSM7;Q8TBN2;B4DQV1;Q05BT9,P12109;A0A087X0S5;B4DRR8;D3DSM7,Collagen alpha-1(VI) chain,COL6A1
GPX3,P22352,27.801815,27.65949,27.585845,0.347848803,0.076914046,,,9,9,9,47.8,47.8,47.8,25.552,0,172.06,3.85E+11,583,P22352;A0A087X1J7;H0YBE4;Q6NXQ3;E5RG32;H0YC19,P22352;A0A087X1J7,Glutathione peroxidase 3;Glutathione peroxidase,GPX3
PSME2,Q9UL46,31.16723,31.13614,31.352775,0.632953751,-2.210880428,,,2,2,2,9.6,9.6,9.6,27.401,0.00057571,4.2304,3.22E+11,128,Q9UL46;H0YM70;Q86SZ7;Q2TNB3;A0A087X1Z3;H0YKU2;Q6FHK9,Q9UL46;H0YM70;Q86SZ7;Q2TNB3;A0A087X1Z3;H0YKU2;Q6FHK9,Proteasome activator complex subunit 2,PSME2
C1S,A0A087X232,31.356635,31.32496,31.33298,0.036713004,0.007046869,,,25,25,2,45.7,45.7,2.9,75.905,0,323.31,2.20E+12,2476,A0A087X232;B5MCV4,A0A087X232,,C1S
PDIA4,P13667,24.069765,26.59049,22.27062,0.220715735,-0.691263241,,,20,20,20,38.1,38.1,38.1,72.932,0,187.66,22508000000,64,P13667;A0A090N8Y2,P13667;A0A090N8Y2,Protein disulfide-isomerase A4,PDIA4;ERP70
SAA2-SAA4,A0A096LPE2,31.09788,31.15436,31.54818,0.923369896,-0.230400594,Tissue enhanced;Tissue enriched,,7,7,1,35.6,35.6,7.2,23.353,0,174.84,8.88E+11,1131,A0A096LPE2;P35542;Q15423;A0A0D6A0A8;E9PR14;G3V1D9;A0A0D5ZZZ2,A0A096LPE2;P35542,Serum amyloid A-4 protein,SAA2-SAA4;SAA4
F5,P12259,29.305515,29.55362,29.57269,1.165507113,-0.199823846,Group enriched,,79,79,56,37.8,37.8,26.7,251.7,0,323.31,4.26E+11,1246,P12259;A0A0A0MRJ7;B4DU26;Q2I258;Q8WWQ7;Q8TD21;F6MG31;Q1L610;C8C1T1;C8C1T0;Q2HZZ1,P12259;A0A0A0MRJ7,Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain,F5
RGMA,Q96B86,23.57427,21.09709,22.12171,1.652789963,1.797335815,,,4,4,4,10,10,10,49.347,0,18.408,1952300000,17,Q96B86;F5H7G2;B3KWK3;A8K5Q0;C6G485;A0A0A0MTQ4;A1L187,Q96B86;F5H7G2;B3KWK3;A8K5Q0;C6G485;A0A0A0MTQ4;A1L187,Repulsive guidance molecule A,RGMA
IL6ST,P40189,22.929135,23.49228,22.94258,0.023580895,-0.036622768,,,17,17,1,20.5,20.5,0.9,103.54,0,98.416,24686000000,112,P40189;A0A0A0N0L5;A0A0A0N0L2;D6RH03;Q5FC05;Q5FC03,P40189;A0A0A0N0L5;A0A0A0N0L2,Interleukin-6 receptor subunit beta,IL6ST
VH6DJ,A2N0T4,31.126545,30.13614,30.40235,2.807924925,0.888835971,,+,3,3,1,27.4,27.4,9.5,10.401,0,6.5721,3.60E+11,360,A2N0T4;A2N0T7;Q9UL74;A2N0T0;A0A0B4J1U7;A2N0U2;A2N0T9;A2N0T5;A2N0U6;A2N0T8;A2N0T2;A2N0S6;Q9UL75;A2N0U3;A0A0F7TBJ0;A2N0S9;A2N0T1;A2N0T6;A2N0S8;A2N0S7,A2N0T4;A2N0T7;Q9UL74;A2N0T0;A0A0B4J1U7;A2N0U2;A2N0T9;A2N0T5;A2N0U6;A2N0T8;A2N0T2;A2N0S6;Q9UL75,,VH6DJ;IGHV6-1
IGHV3-74,A0A0B4J1X5,28.976235,28.08132,28.28176,1.463640344,0.749418513,,,4,2,1,37.6,18.8,12.8,12.839,0,25.021,66973000000,224,A0A0B4J1X5;A2J1N0,A0A0B4J1X5;A2J1N0,,IGHV3-74
